X,Y,NOM,TYPE,X_COORD,Y_COORD,Diff,icon_url
-4.01683118240819,5.44171637142597,Epp Houphouet Boigny,Primaire,387352.84769,601586.09046,Primaire,./0.png
-4.0147413999743,5.43882547235461,Collège les Cours Sociaux,Secondaire,387583.84637,601266.09153,Secondaire,./1.png
-4.00990336441487,5.44407972744902,Epp Guy Nairay,Primaire,388120.84479,601846.08849,Primaire,./0.png
-4.00553017004993,5.44123783559402,Collège Moderne Marie Blanche,Secondaire,388604.84241,601531.08926,Secondaire,./1.png
-4.01737409717525,5.43715675108486,Epp Sogefia,Primaire,387291.84737,601082.09264,Primaire,./0.png
-4.02019100342024,5.4376947001444,Epp Municipalité,Primaire,386979.84874,601142.09275,Primaire,./0.png
-4.01810908128415,5.43410733070966,Collège Moderne Koffi Gadeau,Secondaire,387209.84732,600745.09415,Secondaire,./1.png
-4.01575914511202,5.43214850967761,Epp Habitat,Primaire,387469.84599,600528.09476,Primaire,./0.png
-4.0191143405986,5.43076801332927,Collège Moderne Etienne,Secondaire,387097.84737,600376.09582,Secondaire,./1.png
-4.0128552564907,5.42814642027826,Lycée Moderne Abobo,Secondaire,387790.84415,600085.09624,Secondaire,./1.png
-4.01066380503287,5.42919931506283,Epp Agbékoi,Primaire,388033.84328,600201.09548,Primaire,./0.png
-4.00722920570457,5.43169244365724,Epp Plaque,Primaire,388414.84201,600476.09390,Primaire,./0.png
-4.00956037498043,5.43323526134745,Epv les Anges Noirs,Primaire,388156.84327,600647.09347,Primaire,./0.png
-4.01198255580122,5.4243941779913,GC 112 HA,Primaire,387886.84328,599670.09787,Primaire,./0.png
-4.01140812916686,5.42089469587236,Epv Assemblee de Dieu,Primaire,387949.84258,599283.09941,Primaire,./0.png
-4.00784710033392,5.41787053103453,Epp Bad Kennedy,Primaire,388343.84057,598948.10036,Primaire,./0.png
-4.00542794915459,5.42312070156883,Epp Kennedy,Primaire,388612.84011,599528.09763,Primaire,./0.png
-3.99452281392254,5.41616493192418,Epp Abobo Baoulé,Primaire,389819.83424,598757.09949,Primaire,./0.png
-3.99294288608536,5.41586903345796,Ecole Primaire Catholique,Primaire,389994.83348,598724.09943,Primaire,./0.png
-3.99761032190916,5.41115791081998,Epp Abobo-te 2,Primaire,389476.83504,598204.10218,Primaire,./0.png
-4.00254599195182,5.41044425586139,Epp Abobo-te 1,Primaire,388929.83721,598126.10312,Primaire,./0.png
-4.00317720116747,5.40461816926969,Epp Abobo Annexe 1,Primaire,388858.83677,597482.10588,Primaire,./0.png
-3.99902294983879,5.40299689714045,GS Adama Sanogo,Secondaire,389318.83467,597302.10610,Secondaire,./1.png
-4.00292125480022,5.40264676019381,Epp Plateau Dokui,Primaire,388886.83641,597264.10675,Primaire,./0.png
-4.01246171907301,5.41403677234732,Epp Houantouo,Primaire,387831.84220,598525.10271,Primaire,./0.png
-4.01745045075644,5.41268070734147,Epp Banco 1,Primaire,387278.84432,598376.10396,Primaire,./0.png
-4.02003206765953,5.4129115417788,Collège Tazief,Secondaire,386992.84553,598402.10418,Secondaire,./1.png
-4.01746766906708,5.41758309907063,IFPT,Professionnelle,387277.84495,598918.10170,Secondaire,./1.png
-4.0180120340678,5.41928265482226,Lycée Moderne St. Joseph,Secondaire,387217.84541,599106.10099,Secondaire,./1.png
-4.02214623872901,5.41425569338899,Epp N'sinmon,Primaire,386758.84667,598551.10383,Primaire,./0.png
-4.02944941649923,5.41527446886077,Epp Atchro,Primaire,385949.85015,598665.10429,Primaire,./0.png
-4.0302538395365,5.42129708535662,Epp Sagbe 2 Municipalite,Primaire,385861.85129,599331.10162,Primaire,./0.png
-4.05722621258045,5.44985972828958,Epp Agouéto,Primaire,382878.86743,602494.09187,Primaire,./0.png
-4.05449175608843,5.45005446542296,Epc Mission Catholique,Primaire,383181.86618,602515.09142,Primaire,./0.png
-4.05449926472067,5.45435984412779,Epv Pk18 Peleton,Primaire,383181.86675,602991.08942,Primaire,./0.png
-4.04445276578376,5.43822304409542,Epp Anokoua Kouté,Primaire,384291.86000,601205.09561,Primaire,./0.png
-4.02208856514638,5.43363026847894,Epp Palmeraie,Primaire,386768.84910,600693.09487,Primaire,./0.png
-4.02969132270109,5.44084432535331,Epv Semoi,Primaire,385927.85352,601492.09250,Primaire,./0.png
-4.03084186639047,5.43805649696274,Epp Agnissankoi,Primaire,385799.85370,601184.09394,Primaire,./0.png
-4.03022313373542,5.44573676922821,Epp la Plage,Primaire,385869.85439,602033.09029,Primaire,./0.png
-4.02234706622939,5.4424125611064,Epp Gendarmerie,Primaire,386741.85033,601664.09083,Primaire,./0.png
-4.01714024452217,5.44839109612389,Epp Akeikoi,Primaire,387319.84868,602324.08739,Primaire,./0.png
-4.0116108280016,5.4558264010973,Collège Moderne le Destin,Secondaire,387933.84705,603145.08324,Secondaire,./1.png
-4.0176377361296,5.44365969659348,Epv Yao Leciercq,Primaire,387263.84831,601801.08966,Primaire,./0.png
-4.01938074999538,5.44428086053818,Epp Houphouet Boigny 4,Primaire,387070.84920,601870.08959,Primaire,./0.png
-4.01953379099053,5.43868172024316,Epv GS les Pingoins,Primaire,387052.84856,601251.09221,Primaire,./0.png
-4.01975647981175,5.44229031601398,Epv Arc-en-ciel,Primaire,387028.84912,601650.09056,Primaire,./0.png
-4.01977539918656,5.44280585141421,Epv Saint Louis Courrier,Primaire,387026.84919,601707.09032,Primaire,./0.png
-4.01870978832367,5.4424639405707,Collège Moderne Carine,Secondaire,387144.84866,601669.09035,Secondaire,./1.png
-4.01793183034524,5.44142507360676,Epv Tohouli,Primaire,387230.84817,601554.09073,Primaire,./0.png
-4.01467071347052,5.4451209503083,Epv Nid des Combes,Primaire,387592.84712,601962.08860,Primaire,./0.png
-4.01496512175619,5.44306722728949,Epv GS Marie Kore,Primaire,387559.84700,601735.08959,Primaire,./0.png
-4.01192515275324,5.43868547969605,Epv St. Rita,Primaire,387895.84505,601250.09124,Primaire,./0.png
-4.01100765859272,5.4405593461286,Epv Abraham Lincoln,Primaire,387997.84486,601457.09026,Primaire,./0.png
-4.0084021985706,5.4423455858136,Collège Moderne Koffi Gadeau,Secondaire,388286.84388,601654.08910,Secondaire,./1.png
-4.00844820061438,5.44287012314588,Epv Dyna,Primaire,388281.84397,601712.08887,Primaire,./0.png
-4.00144801719651,5.43971600505192,Epv Koutouan,Primaire,389056.84034,601362.08946,Primaire,./0.png
-4.00331468913156,5.43650133259474,Collège Moderne les Graces,Secondaire,388849.43455,601007.02868,Secondaire,./1.png
