X,Y,osm_id,code,fclass,name,Diff,icon_url
-4.0872102,5.3249928,"768587378","3100",christian,Église Saint-Pierre de Niangon,Eglise,./0.png
-4.0885292,5.3264295,"768587386","3301",muslim_sunni,Mosquée Aicha Niangon Sud de Yopougon,Mosquee,./1.png
-4.0873838,5.3228032,"768587405","3100",christian,Église des Assemblés de Dieu de Niangon-Sud,Eglise,./0.png
-4.0726903,5.3349225,"768587526","3300",muslim,Mosquée Selmer,Mosquee,./1.png
-4.0735944,5.3531378,"768587709","3103",christian_evangelical,Église Evangelique,Eglise,./0.png
-4.0009478,5.3558501,"844756764","3100",christian,Église Saint Jacques,Eglise,./0.png
-3.991652,5.3038814,"844756893","3300",muslim,Mosquée Libanaise de Marcory,Mosquee,./1.png
-3.7456194,5.4012815,"846763004","3100",christian,Église Catholique de Dabré,Eglise,./0.png
-4.0593941,5.3304409,"1140612064","3100",christian,Église Mormon de Toits-Rouges,Eglise,./0.png
-4.060262,5.323946,"1219799980","3102",christian_catholic,Église du Nazaréen Bethléem,Eglise,./0.png
-4.0907613,5.3272053,"1219800077","3107",christian_protestant,Centre de pieu de Niangon,Eglise,./0.png
-4.117493,5.335121,"1219800093","3102",christian_catholic,Notre Dame de Lourdes,Eglise,./0.png
-4.0109253,5.3079648,"1335615316","3300",muslim,Mosque de Treichville,Mosquee,./1.png
-7.5028764,6.54469,"1386758238","3100",christian,Assemblée de Dieu,Eglise,./0.png
-7.3424283,6.739719,"1386758239","3102",christian_catholic,Mission Catholique,Eglise,./0.png
-8.21081,6.916158,"1386758241","3102",christian_catholic,Mission Catholique Capucin,Eglise,./0.png
-7.5034025,6.5457889,"1386758243","3102",christian_catholic,Notre-Dame de Nazareth,Eglise,./0.png
-7.3542911,6.7484745,"1386758246","3102",christian_catholic,UEESO,Eglise,./0.png
-7.487033,6.5452889,"1386758254","3102",christian_catholic,Église Saint-Joseph,Eglise,./0.png
-7.4950971,6.5455443,"1386758266","3100",christian,Église de Réveil,Eglise,./0.png
-7.4834806,6.5276969,"1386762074","3100",christian,Église Céleste,Eglise,./0.png
-3.2073109,5.4679581,"1386801870","3105",christian_methodist,Église EPM,Eglise,./0.png
-3.2082891,5.4677238,"1386801873","3102",christian_catholic,Église Saint-François Xavier,Eglise,./0.png
-4.055557,5.4502976,"1386814348","3105",christian_methodist,Paroisse Sainte Marie d’Agouéto,Eglise,./0.png
-4.1540783,5.4788411,"1386814397","3100",christian,Église Harriste,Eglise,./0.png
-3.9893048,5.3811816,"1386819386","3100",christian,Église Céleste,Eglise,./0.png
-3.9604862,5.3660725,"1523265617","3100",christian,Église Foursquare,Eglise,./0.png
-3.9803569,5.3698843,"1623885644","3102",christian_catholic,Église Saint Bernard,Eglise,./0.png
-3.885572,5.3576365,"1959286264","3102",christian_catholic,Paroisse Saint Augustin,Eglise,./0.png
-3.9569103,5.3299006,"1987794356","3100",christian,Église catholique - M'Pouto,Eglise,./0.png
-3.9505428,5.3284639,"1987808328","3300",muslim,Mosquée CIAD,Mosquee,./1.png
-3.9474865,5.325649,"1987808329","3100",christian,Seminiare Catholique,Eglise,./0.png
-3.9464708,5.3284742,"1987811040","3100",christian,Résidence des soeurs catholiques,Eglise,./0.png
-4.0262316,5.3685705,"2381344496","3103",christian_evangelical,Église Assemblée de Dieu - Le Tabernacle,Eglise,./0.png
-4.0348666,5.3491646,"2385918956","3301",muslim_sunni,Grande Mosquée,Mosquee,./1.png
-4.0346604,5.3469493,"2406027266","3100",christian,Église pentecôte,Eglise,./0.png
-4.0337448,5.3440749,"2407423452","3102",christian_catholic,Chapelle Catholique,Eglise,./0.png
-4.0337085,5.3441554,"2407426905","3100",christian,Église Harris,Eglise,./0.png
-4.0336699,5.345145,"2407426906","3105",christian_methodist,Église Méthodiste,Eglise,./0.png
-4.0122451,5.422649,"2443113763","3300",muslim,Grane Mosquée d'Abobo,Mosquee,./1.png
-4.0140964,5.4096616,"2443139420","3100",christian,Église Sacré-Coeur,Eglise,./0.png
-4.0172164,5.3499998,"2444661025","3103",christian_evangelical,Église évangelique La Bénédiction,Eglise,./0.png
-3.7374796,5.2117149,"2445728075","3100",christian,Église Universelle,Eglise,./0.png
-4.0581914,5.3381038,"2446130569","3102",christian_catholic,Notre Dame de l’Annonciation,Eglise,./0.png
-4.0526738,5.3469692,"2446130570","3102",christian_catholic,Saint Sauveur Miséricordieux,Eglise,./0.png
-4.0738045,5.3379194,"2460519978","3105",christian_methodist,Église méthodiste (Temple Exode),Eglise,./0.png
-4.0550711,5.3299995,"2470273915","3300",muslim,Mosquee de Toits-Rouges,Mosquee,./1.png
-3.9615109,5.3003413,"2474650611","3102",christian_catholic,Paroisse Saint François d'Assise,Eglise,./0.png
-3.9482459,5.2974782,"2478339243","3100",christian,Christianime celeste,Eglise,./0.png
-5.9123156,6.6232574,"2483015310","3300",muslim,Mosquée Baradji,Mosquee,./1.png
-3.9550526,5.3020839,"2485661903","3100",christian,Mission Evangelique Bethesda,Eglise,./0.png
-4.0164885,5.4329181,"2489437357","3100",christian,Saint François Xavier,Eglise,./0.png
-3.9522297,5.2994848,"2493735483","3100",christian,Église Evangelique Mission International des rachétés,Eglise,./0.png
-3.9831146,5.4054492,"2499932615","3100",christian,Église des Assemblées de Dieu,Eglise,./0.png
-4.1039345,5.3093439,"2508234156","3105",christian_methodist,Saint Esprit,Eglise,./0.png
-4.1042491,5.3119144,"2508237026","3100",christian,Mission evangelique La porte de cieux,Eglise,./0.png
-4.0554234,5.444123,"2629937477","3105",christian_methodist,Église Méthodiste Unie PK18,Eglise,./0.png
-3.9697305,5.3087616,"2758421742","3100",christian,Fisrt Baptis church,Eglise,./0.png
-4.0113487,5.3741386,"2759561321","3100",christian,Église évangélique les délices de l'arrière saison,Eglise,./0.png
-3.9486035,5.3077242,"2761002837","3100",christian,Église Évangélique le Progrès,Eglise,./0.png
-3.9492016,5.3085748,"2761026080","3100",christian,Église de Dieu de la Prophétie,Eglise,./0.png
-3.9453054,5.3120469,"2761136581","3100",christian,MEIVA JC,Eglise,./0.png
-3.9426744,5.3148929,"2761136589","3300",muslim,An Nour,Mosquee,./1.png
-3.9451704,5.3102102,"2763733404","3300",muslim,Mosquée du 05,Mosquee,./1.png
-3.9459791,5.306734,"2763868242","3300",muslim,,Mosquee,./1.png
-3.9467592,5.3021087,"2763933875","3300",muslim,mosqée,Mosquee,./1.png
-3.9630335,5.3585548,"2860191479","3100",christian,Paroisse Dehima Marie Lalou,Eglise,./0.png
-3.9676898,5.3618182,"2860191862","3103",christian_evangelical,La maison de la destinée,Eglise,./0.png
-4.0880025,5.3099738,"2893377639","3100",christian,Église Saint-Jean,Eglise,./0.png
-3.9912812,5.3900699,"2898943447","3100",christian,Le temple de la foi. Chez Wafo,Eglise,./0.png
-4.0060733,5.4056498,"2899069200","3100",christian,Église universelle,Eglise,./0.png
-3.8832795,5.3574812,"2960509008","3300",muslim,,Mosquee,./1.png
-3.579657,5.242526,"2977927195","3100",christian,Centre Jean Paul 1er de odjoboué,Eglise,./0.png
-3.7361198,5.2066688,"2986844119","3103",christian_evangelical,Mission Evangélique la Source,Eglise,./0.png
-4.0212288,5.3536068,"3017000094","3100",christian,Église evangelique des Assemblées de Dieu,Eglise,./0.png
-4.0233035,5.3494904,"3017000129","3300",muslim,Mosquée du Marché Gouro,Mosquee,./1.png
-4.0215697,5.3511393,"3017000130","3300",muslim,Mosquée El Hadj Mohamed Taofiq,Mosquee,./1.png
-4.0188124,5.353365,"3017000131","3300",muslim,,Mosquee,./1.png
-3.9687673,5.3044423,"3047090556","3103",christian_evangelical,Assemblée de Dieu temple El Kabod,Eglise,./0.png
-3.9676723,5.3046834,"3047104120","3300",muslim,,Mosquee,./1.png
-4.0115712,7.2915052,"3070480898","3102",christian_catholic,Paroisse Notre-Dame de la consolation de Ouéllé,Eglise,./0.png
-5.9470061,6.1438876,"3118479735","3102",christian_catholic,Paroisse Sainte Marie,Eglise,./0.png
-4.0136143,5.4252761,"3129486598","3300",muslim,,Mosquee,./1.png
-3.9683347,5.2988573,"3137591690","3300",muslim,,Mosquee,./1.png
-3.9995134,5.3983841,"3139928229","3103",christian_evangelical,Église Foursquare Dokui,Eglise,./0.png
-4.0036142,5.3355373,"3145365271","3102",christian_catholic,Église Saint Jean,Eglise,./0.png
-3.1381712,5.798281,"3145619024","3300",muslim,Mosquée de Yaou,Mosquee,./1.png
-3.9895125,5.3799697,"3147059174","3100",christian,Église Vases d’Honneurs,Eglise,./0.png
-3.1415138,5.7967027,"3147552132","3301",muslim_sunni,Mosquée de Dioulabougou,Mosquee,./1.png
-3.7430713,5.2083805,"3151513386","3300",muslim,Mosquée Sylla,Mosquee,./1.png
