X,Y,ID,PARTS,NOM,CODE,CLASSIF,SOUS_PREF,DEPART,REGION,icon_url
-7.48257886076989,10.39888530761,"1","1",TIEFENZO,"1","1",TIENKO,ODIENNE,DENGUELE,./0.png
-7.64037018362711,10.3736935509671,"2","1",LELE,"1","0",TIENKO,ODIENNE,DENGUELE,./0.png
-7.51724308093368,10.3548409323537,"3","1",KIMBIRILA NORD,"2","0",TIENKO,ODIENNE,DENGUELE,./0.png
-7.67932909614015,10.3452018779214,"4","1",SANZANOU,"1","0",TIENKO,ODIENNE,DENGUELE,./0.png
-7.60326381884077,10.3277750047676,"5","1",NAGUINA,"1","0",TIENKO,ODIENNE,DENGUELE,./0.png
-7.40222249421184,10.3252066482139,"6","1",KONGOHILA,"1","0",TIENKO,ODIENNE,DENGUELE,./0.png
-7.41750089614937,10.3043314690749,"7","1",MISSAMAHANA,"1","0",TIENKO,ODIENNE,DENGUELE,./0.png
-7.60908756244562,10.2949628804919,"8","1",KONEFLA,"1","0",TIENKO,ODIENNE,DENGUELE,./0.png
-7.53331508855934,10.2802411214361,"9","1",KEMISSIGA,"1","0",TIENKO,ODIENNE,DENGUELE,./0.png
-7.74275913782998,10.2742876446572,"10","1",MADINA,"1","0",MINIGNAN,ODIENNE,DENGUELE,./0.png
-7.49770448237063,10.2704187510105,"11","1",M'BANA,"1","0",TIENKO,ODIENNE,DENGUELE,./0.png
-7.41661622250974,10.2446671658245,"12","1",KOUBAN,"2","0",TIENKO,ODIENNE,DENGUELE,./0.png
-7.56079565745523,10.2374348280203,"13","1",KEHI,"1","0",TIENKO,ODIENNE,DENGUELE,./0.png
-7.48254340655865,10.2253346984868,"14","1",TIENKO,"3","1",TIENKO,ODIENNE,DENGUELE,./0.png
-7.16175846597156,10.2296193144197,"15","1",TOUROUDIO,"1","0",GOULIA,ODIENNE,DENGUELE,./0.png
-7.82147118729897,10.2071819162557,"16","1",SOKORO,"2","1",MINIGNAN,ODIENNE,DENGUELE,./0.png
-7.34321271134637,10.1971243784558,"17","1",DIOLOLA,"1","0",TIENKO,ODIENNE,DENGUELE,./0.png
-7.54458223467568,10.1918949203015,"18","1",MAZELA,"1","1",TIENKO,ODIENNE,DENGUELE,./0.png
-7.44211615462247,10.1831248723321,"19","1",KOLIKO,"1","0",TIENKO,ODIENNE,DENGUELE,./0.png
-7.29127366306577,10.1693227862397,"20","1",KOUROULINGUE,"1","0",GOULIA,ODIENNE,DENGUELE,./0.png
-7.65879767390193,10.1689062805839,"21","1",NABAGALA,"1","0",MINIGNAN,ODIENNE,DENGUELE,./0.png
-7.78721181078035,10.1615872098524,"22","1",KENINGOUARA,"1","0",MINIGNAN,ODIENNE,DENGUELE,./0.png
-7.12259495282238,10.1545016265571,"23","1",TAHARA,"2","1",GOULIA,ODIENNE,DENGUELE,./0.png
-7.55462114490433,10.1419138904921,"24","1",KABANGOUE,"1","0",TIENKO,ODIENNE,DENGUELE,./0.png
-7.86597666673371,10.1355908253588,"25","1",TIEMBA,"1","0",MINIGNAN,ODIENNE,DENGUELE,./0.png
